pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-150,z,38,3,155,3,,,,,559.331110209001,560.3262534170026,560.3262534170026,560.3262534170026,560.3262534170026,560.3262534170026,561.3237673340009,561.3237673340009,z,1,0.8172618749995308,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-50,x,39,0,156,0,,,,,562.1485854590028,563.1428780420028,563.1428780420028,563.1428780420028,563.1428780420028,563.1428780420028,564.1411469170016,564.1411469170016,x,1,0.9589488340025127,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
150,v,39,1,157,1,,,,,565.106957709002,566.0997877090012,566.0997877090012,566.0997877090012,566.0997877090012,566.1092764170025,567.0980855840025,567.0980855840025,v,1,1.2591444170029717,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
50,c,39,2,158,2,,,,,568.365132125,569.3599311670005,569.3599311670005,569.3599311670005,569.3599311670005,569.3599311670005,570.3569920000009,570.3569920000009,c,1,0.7262980000014068,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,39,3,159,3,,,,,571.0898112499999,572.0990885419997,572.0990885419997,572.0990885419997,572.0990885419997,572.0990885419997,573.0820570420001,573.0820570420001,z,1,0.618194124999718,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-50,x,40,0,160,0,,,,,573.7066489999997,574.698748584,574.698748584,574.698748584,574.698748584,574.698748584,575.6985682090017,575.6985682090017,x,1,0.43465937500150176,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
150,v,40,1,161,1,,,,,576.1399300000012,577.1322295419995,577.1322295419995,577.1322295419995,577.1322295419995,577.1322295419995,578.1312418340021,578.1312418340021,v,1,0.5769882499989762,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
50,c,40,2,162,2,,,,,578.7146660420003,579.7095864170005,579.7095864170005,579.7095864170005,579.7095864170005,579.7095864170005,580.7067199590019,580.7067199590019,c,1,0.9436309589982557,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,40,3,163,3,,,,,581.6571140420019,582.6498125840008,582.6498125840008,582.6498125840008,582.6498125840008,582.6498125840008,583.6479104589998,583.6479104589998,z,1,0.5101956250000512,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-50,x,41,0,164,0,,,,,584.1646234170003,585.1597963340027,585.1597963340027,585.1597963340027,585.1597963340027,585.1597963340027,586.1574930000024,586.1574930000024,x,1,0.5674747080011002,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
